Linux 6.8.0-60-generic (masterserver) 	21/06/25 	_x86_64_	(16 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:54:43        0      1952    0,00    0,00    0,00    0,00    0,00    13  sshd
03:54:43        0      2011    0,00    0,00    0,00    0,00    0,00     2  docker-proxy
03:54:43        0      2018    0,00    0,00    0,00    0,00    0,00    13  docker-proxy
03:54:43        0      2027    0,00    0,00    0,00    0,00    0,00     9  docker-proxy
03:54:43        0      2036    0,00    0,00    0,00    0,00    0,00     2  docker-proxy
03:54:43     1000      2103    0,00    0,00    0,00    0,00    0,00     6  systemd
03:54:43     1000      2104    0,00    0,00    0,00    0,00    0,00     5  (sd-pam)
03:54:43     1000      2133    0,00    0,00    0,00    0,00    0,00     4  pipewire
03:54:43     1000      2134    0,00    0,00    0,00    0,00    0,00    11  pipewire
03:54:43     1000      2135    0,00    0,00    0,00    0,00    0,00    15  wireplumber
03:54:43     1000      2137    0,00    0,00    0,00    0,00    0,00     5  pipewire-pulse
03:54:43     1000      2156    0,00    0,00    0,00    0,00    0,00    12  dbus-daemon
03:54:43      116      2163    0,00    0,00    0,00    0,00    0,00     5  rtkit-daemon
03:54:43        0      2751    0,00    0,00    0,00    0,00    0,00    15  kworker/R-tls-s
03:54:43        0      3735    0,00    0,00    0,00    0,00    0,00     0  kworker/0:3-events
03:54:43     1000     12266    0,00    0,00    0,00    0,00    0,00     5  nvidia-smi
03:54:43     1000     12380    0,00    0,00    0,00    0,00    0,00    14  nvidia-smi
03:54:43     1000     12470    0,00    0,00    0,00    0,00    0,00     6  nvidia-smi
03:54:43     1000     12554    0,00    0,00    0,00    0,00    0,00     6  nvidia-smi
03:54:43     1000     13313    0,00    0,00    0,00    0,00    0,00     3  nvidia-smi
03:54:43     1000     13329    0,00    0,00    0,00    0,00    0,00    10  nvidia-smi
03:54:43     1000     13378    0,00    0,00    0,00    0,00    0,00    14  nvidia-smi
03:54:43     1000     13439    0,00    0,00    0,00    0,00    0,00     9  nvidia-smi
03:54:43     1000     13509    0,00    0,00    0,00    0,00    0,00    10  nvidia-smi
03:54:43     1000     13549    0,00    0,00    0,00    0,00    0,00     1  nvidia-smi
03:54:43     1000     13570    0,00    0,00    0,00    0,00    0,00    12  nvidia-smi
03:54:43     1000     13577    0,00    0,00    0,00    0,00    0,00     9  nvidia-smi
03:54:43     1000     13592    0,00    0,00    0,00    0,00    0,00    13  nvidia-smi
03:54:43     1000     13599    0,00    0,00    0,00    0,00    0,00     0  nvidia-smi
03:54:43        0     15029    0,00    0,00    0,00    0,00    0,00    14  kworker/14:2-events
03:54:43        0     15032    0,00    0,00    0,00    0,00    0,00     2  kworker/2:2
03:54:43        0     15760    0,00    0,00    0,00    0,00    0,00     6  kworker/6:2-mm_percpu_wq
03:54:43        0     16513    0,00    0,00    0,00    0,00    0,00     7  kworker/7:0H-kblockd
03:54:43        0     18828    0,00    0,00    0,00    0,00    0,00    14  kworker/14:1
03:54:43        0     19459    0,00    0,00    0,00    0,00    0,00     7  kworker/7:0-rcu_par_gp
03:54:43        0     19514    0,00    0,00    0,00    0,00    0,00     6  kworker/6:0
03:54:43        0     19645    0,00    0,00    0,00    0,00    0,00     3  sshd
03:54:43     1000     19760    0,00    0,00    0,00    0,00    0,00     4  sshd
03:54:43     1000     19761    0,00    0,00    0,00    0,00    0,00     4  bash
03:54:43     1000     19769    0,00    0,00    0,00    0,00    0,00    12  sh
03:54:43     1000     19787    0,00    0,00    0,00    0,00    0,00    15  code-dfaf44141e
03:54:43     1000     19824    0,00    0,00    0,00    0,00    0,00     3  sh
03:54:43     1000     19828    0,00    0,00    0,00    0,00    0,00    12  node
03:54:43     1000     19994    0,00    0,00    0,00    0,00    0,00     2  node
03:54:43     1000     20067    0,00    0,00    0,00    0,00    0,00     5  node
03:54:43     1000     20078    0,99    0,00    0,00    0,00    0,99     2  node
03:54:43     1000     20128    0,00    0,00    0,00    0,00    0,00    13  sh
03:54:43     1000     20133    0,00    0,00    0,00    0,00    0,00     1  bash
03:54:43     1000     20534    0,00    0,00    0,00    0,00    0,00     6  python
03:54:43     1000     20539    0,00    0,00    0,00    0,00    0,00     9  bash
03:54:43     1000     20757    0,00    0,00    0,00    0,00    0,00    10  node
03:54:43     1000     20837    0,00    0,00    0,00    0,00    0,00     9  bash
03:54:43        0     55714    0,00    0,00    0,00    0,00    0,00    12  kworker/12:1-rcu_par_gp
03:54:43        0     55783    0,00    0,00    0,00    0,00    0,00     8  kworker/8:1-cgroup_destroy
03:54:43        0     56371    0,00    0,00    0,00    0,00    0,00     5  kworker/5:0
03:54:43        0     61260    0,00    0,00    0,00    0,00    0,00    11  kworker/11:0-events
03:54:43        0     77519    0,00    0,00    0,00    0,00    0,00     7  sshd
03:54:43     1000     77573    0,00    0,00    0,00    0,00    0,00     2  sshd
03:54:43     1000     77574    0,00    0,00    0,00    0,00    0,00     6  bash
03:54:43        0     85741    0,00    0,00    0,00    0,00    0,00     1  kworker/1:1
03:54:43        0     86167    0,00    0,00    0,00    0,00    0,00     7  sshd
03:54:43     1000     86316    0,00    0,00    0,00    0,00    0,00     2  sshd
03:54:43     1000     86317    0,00    0,00    0,00    0,00    0,00    13  bash
03:54:43        0     86969    0,00    0,00    0,00    0,00    0,00     0  kworker/0:0-cgroup_destroy
03:54:43        0     86970    0,00    0,00    0,00    0,00    0,00     9  kworker/9:2-rcu_par_gp
03:54:43        0     87034    0,00    0,00    0,00    0,00    0,00    10  kworker/u65:2-events_power_efficient
03:54:43        0     87339    0,00    0,00    0,00    0,00    0,00    10  kworker/10:0-events
03:54:43        0     87459    0,00    0,00    0,00    0,00    0,00     7  kworker/7:2H-kblockd
03:54:43        0     87563    0,00    0,00    0,00    0,00    0,00     4  kworker/4:1
03:54:43        0     87567    0,00    0,00    0,00    0,00    0,00     3  kworker/3:0-events
03:54:43        0     87568    0,00    0,00    0,00    0,00    0,00    13  kworker/13:2
03:54:43        0     88003    0,00    0,00    0,00    0,00    0,00    13  kworker/u66:1-events_power_efficient
03:54:43        0     88064    0,00    0,00    0,00    0,00    0,00    10  kworker/u65:0-events_power_efficient
03:54:43        0     88421    0,00    0,00    0,00    0,00    0,00     4  kworker/u66:4-flush-252:0
